"From files: clickbait_pickles/clickbait_1_R.p, clickbait_pickles/clickbait_1_A.p, clickbait_pickles/clickbait_1_R,B.p, clickbait_pickles/clickbait_1_A,B.p",,,,,,,,,,,,,,,
A,B,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Gabe,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,Prabha,"Which passage is more ""sensational""/""clickbaity""?",How fluent is the passage of A?,How fluent is the passage of B?,,,
"The year is 1910. A man named John H. Brown Jr. is working to raise funds to build the world's first railroad to the Atlantic Ocean, and he wants to make sure everyone gets to know their fellow travelers.

Brown's dream of building a railroad has","The year is 1910. On a summer weekend, a group of men in a rented carriage ride through the city's streets. A young man falls asleep behind the wheel, and the driver, a young woman, is knocked into the road. The woman's husband, the driver",neither,4,2,*,A,4,2,,neither,3,3,,,23_628_806
"The president of the country's leading women's fashion brand, H&M is a huge name. Its success at opening up a niche market and making a name for itself in the world of fashion is not just a story but a major part of its success, with the brand","The president of the country's most powerful university, the University of California at Berkeley, is a vocal critic of Trump's immigration policies.

President Trump has ordered the removal of two U.S. military bases and the closing of seven federal facilities that serve illegal immigrants.",both,4,4,*,B,5,4,,both,4,5,,,24_285_324
"The year is 1910. A young woman is walking along the road in a park in a quiet village.

""I can hear a voice in the back of my head asking why I shouldn't go and see a man.""

""I am afraid he might be","The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee",neither,5,3,*,neither,2,2,,neither,3,3,,,22_156_102
"The year is 1910. The year is the year of the New World Order. The year is the year the world's greatest secret has been hidden from the public for over 100 years.

And this is what you do with the secrets you find in order to protect yourself","The year is 1910. A new, revolutionary technology is being developed in the United States that is going to change the world in a profound way. The world's population is going to grow by 10% by the year 2000. A lot of people believe that the world is going",A,3,4,*,both,2,2,,A,2,3,,,21_35_162
"The movie is a comedy, with the plot revolving around a family of seven people who all live at the same apartment complex, where they are all members of a secret society known as the ""Hands"". The main character is one of the members, but he","The movie's plot is simple — two men, who have been separated by the years, are reunited in a small town, only to find that their relationship has grown strained after a violent crime. In the process of trying to keep them apart, the two men",neither,4,4,*,neither,5,4,,neither,4,5,,,29_828_242
"The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,","The country's oldest and largest private online learning (9–28

The most common question we receive is how to make a living as a professional graphic designer or programmer.

This is a simple blog that I wrote for my wife's wedding in a",both,4,2,*,A,4,1,,both,4,2,,,7_538_263
"The last time I saw my son, I was walking to his school on the way home. I was born in the middle of the night, and I was in love; but the first and the only time that ever happened, it was for the better. It","The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes",neither,1,4,*,neither,1,3,,neither,1,3,,,32_373_294
"The last time I was here, I got an email from an old man about how he'd had a few drinks and had a few thoughts about the place. He didn't really have any answers, but I could tell there was a lot of love in his eyes","The last time that the GOP had to resort to the same tactics to get votes they didn't have to, it got them the Senate.<|endoftext|>The following are excerpts from ""The Secret of Our Success: The Science Behind Getting People to Do More for the World""",B,4,3,*,neither,3,2,,B,3,3,,,32_88_679
"The chickenpox virus has been found in the brain of a 14-year-old girl who died of chickenpox, according to the first scientific evidence of the disease in humans.

Her case is the first to have been reported in the UK.
","The chicken-and-egg question: How do you know when a restaurant is in decline?

If a restaurant's food is no longer fresh and good, that's bad news for your health. But that doesn't mean there's an easy way to",A,3,4,*,both,3,2,,both,2,3,,,3_460_617
"The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came","The lake is the biggest in the world, covering a fifth of the planet, but is not a lake. It's a lake, and it's a huge lake. But the size, the size of it and the way it's formed are all different and",B,4,2,*,B,3,2,,B,3,2,,,35_37_348
"The book ""The Secret Lives of the Famous People Who Have Never Been Pregnant"" by Jane Goodall, is now in our hands. This is the book that is the secret to the success of our lives, which we cannot imagine because we are not","The book was published by Penguin on September 28th 2012.

A short story collection by John Green.

Contents

Story [ edit ]

The book is set in a world without magic: a land without wizards or witches. The world",A,4,3,*,A,4,5,,A,3,4,,,43_895_740
"The president of the country's most popular travel website, The O.K.?
""I don't have to."" This article is about the creature. For other creatures, see The Wiggler
""What are you doing on our planet?"" This article has a quick","The president of the country's leading women's fashion brand, H&M is a huge name. Its success at opening up a niche market and making a name for itself in the world of fashion is not just a story but a major part of its success, with the brand",A,2,4,*,neither,1,5,,A,2,4,,,24_835_9
"The lake of the same name is the world's largest and was the largest of the lakes. It was named in honour of the German geologist Carl Friedrich Carlisle, who believed the earth was a lake.

The lake once covered a huge area,","The lake at the edge of the lake in the center of the map shows how the lake is changing. (Courtesy of the National Park Service)

There isn't much to talk about on Lake Champlain — it's just a lake that sits atop the",neither,3,2,*,neither,2,2,,neither,2,4,,,33_505_854
"The pizza shop is open for business!

A friend of mine who is from the area, had a few pizza orders on the way from California. He decided to drive to the place to get his pizza and when I called to let him know that it","The pizza dough can be made by using the following ingredients in order and with some simple modifications.
It's time to learn the secrets of how to use a food processor or machine to make pizza dough. Here we will show you a few tips you can use",neither,3,4,*,B,3,4,,neither,4,4,,,20_542_151
"The last time I posted about a girl from my area that I had been attracted to, I was in an effort to get her to tell her girlfriend that she had been interested in me since the day she met her boyfriend. She didn't want her girlfriend to hear","The last time a man was killed by a woman in the US was the mid-1990s, when a woman in Arizona shot and killed a woman who had tried to break into her home.

It was a brutal act of revenge, and it was the",A,3,2,*,B,2,2,,B,2,2,,,30_595_637
"The food and beverage industry is moving quickly and in the right direction.

It's a trend, and the trend is good.

The food and beverage sector is projected to grow at a CAGR of 9% to 7.7% in","The food is tasty. But you'll never guess where these tasty treats originated.

It all began on this very site, back in 2010. It all begins here.

This was the home page of the Food Revolution website. And it's the",both,3,4,*,both,4,2,,both,4,3,,,16_793_747
"The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her","The painting is of a woman with an expression on her face which shows her having a sexual encounter while standing. She is holding a knife in one hand, a cigarette in the other, and holding her own head in front of her with her right hand. Her",neither,4,4,*,neither,4,4,,neither,2,2,,,14_610_504
"The book was published by Penguin on September 28th 2012.

A short story collection by John Green.

Contents

Story [ edit ]

The book is set in a world without magic: a land without wizards or witches. The world","The book of Revelation is a book which has a lot to say about the future of the world and the world to come, but I will not go into that here because I believe there are other important things to discuss. What I have to say about these is",neither,3,4,*,neither,5,5,,neither,4,4,,,43_764_741
"The president of the country's largest anti-aging food business is making an interesting discovery. He found it in one of his own experiments.

The results are a pretty surprising one. The study was meant to test an idea first presented to him in the early 1990s","The president of the country's ruling party says he is ""shocked"" at his government's treatment of the Rohingya Muslim minority. In a statement released on Tuesday, the chairman of the ruling Awami League party, Muhammed Fahmi, said: ""I am shocked",both,4,4,*,both,3,5,,both,3,3,,,25_299_608
"The food industry will have its best year ever on Thursday thanks to another huge victory for the anti-poverty activists, who are challenging the government for allowing companies such as McDonalds and Burger King to buy land in the UK for their fast food plants.
","The food and beverage industry is moving quickly and in the right direction.

It's a trend, and the trend is good.

The food and beverage sector is projected to grow at a CAGR of 9% to 7.7% in",both,4,3,*,A,3,4,,both,3,2,,,16_332_473
"The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came","The lake's water level was about to fall again, but this time it was from a very very nice place. We had just been in the middle of a picnic and there was a man who was quite tall and handsome, with a pretty face. He came",neither,4,4,*,neither,3,3,,neither,3,3,,,35_759_665
"The road of life in the United States is full of surprises that sometimes seem impossible. But for a lot of people, life in America is not that much different from life elsewhere.

This is what happens when you get to a place where everything is just","The road to the top of the food chain has been long and arduous, but the first-generation foodies will be glad to know that they can now indulge in food that's a little more exciting than your typical, average, food: the kind that",B,4,5,*,B,4,4,,B,3,4,,,2_234_553
"The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was","The city's chief of police has said the city should consider banning Uber's ridesharing service, saying it's ""dangerous.""

""I am not saying Uber is not safe or that we shouldn't do what we have to do,"" said Chief",B,4,3,*,both,5,2,,B,4,3,,,41_556_654
"The painting is in good condition.

This is the same one as a friend of mine, who is a wonderful person.

He's a great painter. His work is so unique, I'm afraid he's been passed up for the best work","The painting is one of those things you don't notice until you've seen it. The first woman on the street and the man with the gun has a very strange and unusual way of looking at things, and it seems to have been there for quite a while",neither,3,2,*,B,2,2,,neither,3,2,,,14_597_131
"The country is a very hot, crowded place. I have a great job that keeps my house in great shape.
The new, better-paying, better-paid jobs are being offered in the US. The new jobs are paying over $100,000","The country has a reputation for being one of the most dangerous places in the world, and with good reason. In a study of nearly 1,100 countries, the World Health Organization said that nearly a third of all people who die in the country die from violent",B,3,3,*,both,2,4,,B,3,4,,,6_271_178
"The chickenpox virus has been found in the brain of a 14-year-old girl who died of chickenpox, according to the first scientific evidence of the disease in humans.

Her case is the first to have been reported in the UK.
","The chicken salad that everyone loves: What's in the food?

If you want to make a meal that is truly special and unique to you, you can't make it by eating everything. It's not a matter of how many vegetables you can eat",both,3,4,*,both,3,2,,both,2,3,,,3_796_519
"The year is 1910. A new, revolutionary technology is being developed in the United States that is going to change the world in a profound way. The world's population is going to grow by 10% by the year 2000. A lot of people believe that the world is going",The year is 1910. The year is 1910-1912. The year is 1910-1916. The year is 1912-1913. The year is 1912-1914. The year is 1912-1915. The year is 1913-1916. The year,neither,4,1,*,A,2,1,,neither,3,1,,,21_594_356
"Once upon a time, the world was in a good mood, but now it's a dark and dangerous time for all of humanity. The only way we can stop it now is if you can get to the source of this darkness, and that's you, the person","Once upon a time, there was an artist named David M. Rubenstein. His work, which is described in the book The New Art of Writing, was so beautiful—so beautifully written—that it became a bestseller. Rubenstein had written a book of poetry",neither,4,4,*,neither,3,3,,neither,3,4,,,11_449_224
"The potato is one nutritious staple, and it's an incredibly healthy and nutritious food. But there are a few things you need to know about it and when to eat it.

Potato Facts & Nutrition

What is Potatoes?

Pot","The potato is back. And it is a success, at least according to one company that's hoping to sell the prized food.

The company, whose product is called The Good Food and that it claims is 100 percent whole-wheat, has created",both,3,4,*,A,3,2,,both,3,4,,,37_346_723
"The movie ""The Avengers."" (Photo: Marvel)

There is no doubt that the Avengers film franchise is going to be big. The movie, starring Chris Evans and Anthony Mackie, is expected to be released May 1, 2016.

But","The movie is actually called ""The Movie"".

I've never even heard of the person behind the name, because the movie is not a real person, but rather a fictitious movie.

I was thinking I'd have a go at trying and making",neither,4,2,*,neither,4,1,,neither,4,2,,,28_624_573
"The movie's plot is simple — two men, who have been separated by the years, are reunited in a small town, only to find that their relationship has grown strained after a violent crime. In the process of trying to keep them apart, the two men","The movie is a joke, I'll admit it, but it is funny and I'm glad it's in theaters.

The first thing I noticed was that they shot the scene in the middle of the day, when most action is shot. The second",B,4,3,*,neither,5,3,,B,4,3,,,29_338_763
"The pizza chain has been hit with a class action lawsuit alleging its pizzas contain ""unsafe"" ingredients.

An online petition calling for a $1.5million class action against Papa John's Pizza Co. was launched in September after customers were reported","The pizza ovens are one of the most exciting and useful features in your life. It's a feature that you might not know is there. It's the ability to quickly and easily make and store your favourite pizzas, or any other food. The ability",both,4,3,*,both,4,2,,both,4,3,,,20_876_313
"The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could","The book is a fascinating and entertaining read that will make all the other books about the Internet, and the Internet's role in the world better.


This book has been a top favorite of mine and I think everyone else's.


I am a",B,2,4,*,B,1,2,,B,2,3,,,44_114_439
"The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was",The city of Gondor and the Número-Nádí-Gondorian (Número-Número-Nádí-Gondor) kingdom are named in honor of the Númeró,neither,4,1,,A,5,2,,neither,4,1,,,41_224_389
,A,78,,,A,69,,,A,73,,,,,
,B,50,,,B,69,,,B,69,,,,,
,Both,45,,,Both,69,,,Both,55,,,,,
,Neither,97,,,Neither,63,,,Neither,73,,,,,
,,270,,,,270,,,,270,,,,,
