"From files: positive_pickles/sentiment_2_R.p, positive_pickles/sentiment_2_A.p, positive_pickles/sentiment_2_R,B.p, positive_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,
A,B,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Gabe,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Ben,Which passage is more positive?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,
"The chicken is ready when they are. The chicken is ready when the turkey is. The chicken is ready when the duck is. The chicken is ready when the rabbit is.

When the chicken comes out, the turkey is ready.

It's","The chicken and cheese sandwich is a classic American food, and one that has become synonymous with the city of Chicago for the past two decades—the city that was once the home of the first chicken sandwich, a staple of the 1950s, '60s and",neither,2,5,,neither,1,5,,neither,1,3,,,10_744_750
"The potato chip recipe you asked for! We love making these, and I've been doing so for years. I've always had a hard time keeping a recipe secret. I think it's the way our kids love to eat them – so many little ones.","The potato is probably the oldest living plant on Earth and probably grew its roots on the ground for millions of years before the Earth's crust was formed. But how exactly does it get started?

In fact, the potato has been around since the beginning of",A,4,5,,A,3,5,,A,2,3,,,37_698_56
"The book is a bit of a mixed bag. I really liked the first book, The Last Man on Earth: The True Story of the Last Man on Earth, and the follow-up, The Last Man on Earth 2, both have their flaws. However","The book of Revelation, which is the most popular and most popular to be read, contains the following words:

""I have the word of God, I have the power of God, I am he. I can do whatever I like. I have",B,3,2,,B,2,2,,neither,2,2,,,39_436_309
"The year is 1910. One of his friends is an old-school writer, and the two of them start a new series of short stories, each a stunning work of the most amazing imagination of the mind and the art of the hand. The most incredible talent and the most","The year is 1910. One of America's most influential men, John D. Rockefeller, has been in office for a mere five years. The American people have become so fed up with government that they have begun to demand a change. The president, however, doesn't seem",neither,4,4,,neither,3,3,,neither,3,4,,,33_731_604
"The potato, like other plants and fruits in the fruit-producing family, has been used to cook, make bread and more for thousands of years. The first recorded uses of potato dates from the late third century BC, when a man in southern Italy discovered a","The potato chip recipe you asked for! We love making these, and I've been doing so for years. I've always had a hard time keeping a recipe secret. I think it's the way our kids love to eat them – so many little ones.",B,4,4,,B,4,3,,B,4,2,,,37_405_430
"The potato is probably the oldest living plant on Earth and probably grew its roots on the ground for millions of years before the Earth's crust was formed. But how exactly does it get started?

In fact, the potato has been around since the beginning of","The potato, like other plants and fruits in the fruit-producing family, has been used to cook, make bread and more for thousands of years. The first recorded uses of potato dates from the late third century BC, when a man in southern Italy discovered a",neither,5,4,,neither,5,4,,neither,3,4,,,37_252_113
"The horse-and-buggy culture of the early 19th-century, in its most famous form, was based on a love of horse-drawn wagons, with their ability to carry a great deal of weight, and also the use of horse-","The horse is one of the most beautiful creatures on the planet, and yet it is a common sight to see a great number of great artists that have never even seen a single one before, and they are usually quite stunning in their own right and have been admired",B,4,4,,B,4,3,,B,4,3,,,6_261_467
"The city's chief planner, John Paget, was asked by a constituent why a public works budget that was approved this week would not include $15 million for transit projects to connect downtown and the waterfront to downtown parks.

""Why would they spend $","The city of San Francisco has approved a plan to allow the sale of wine, beer and wine are drinkable and alcoholic alcoholic alcoholic beverage is alcoholic beverage alcoholic alcohol alcoholic liquid alcoholic alcoholic liquid alcoholic beverage alcohol beverage alcoholic liquid alcoholic liquid alcoholic alcoholic liquor alcohol alcoholic liquor alcohol",neither,4,1,,neither,5,1,,neither,5,1,,,15_360_413
"The lake, which is one mile long and has a total depth of 5 feet, is about 30 feet below the surface.

The lake's depth is not surprising, but the lake's location means the water is far enough below the surface that its temperature","The lake is about 50-100 feet deep, and the water is not very warm, the temperature of the water being in the low 60s. I I I This is great as I can only get a really great experience in, and have only ever.",neither,3,2,,neither,3,1,,neither,2,1,,,28_624_573
"The year is 1910. A new age of technology has revolutionized the production of energy. The first truly revolutionary invention – the phonograph - is born.

The phonograph's unique ability to capture sounds of incredible clarity - a feat that was thought impossible until a group","The year is 1910. A young woman, known only by the name of ""The Red Queen,"" is a mysterious, powerful, and very beautiful woman. This is a very fine artist. His genius and his talent, in his great talent, a fine artist in all the",both,4,3,,both,3,3,,A,2,3,,,34_663_257
"Once upon a time, this article was about how to make a simple, yet stylish and effective t-shirt. I'm happy to tell you that you should definitely try making your own t-shirt. Here are five tips I've learned over time that make making your","Once upon a time, the Internet was just a bunch of little places you could go to search for information and share it with one another.

That's no longer the case. The Web is full of information, and some of the most amazing information you can find",neither,4,3,,neither,3,4,,A,2,3,,,21_594_356
"The president of the country's oldest university, Oxford University, is the head of the the the British government is trying a a a one-in-H-H-H-h-s-h-h-e-e-a-a-e-a","The president of the country's oldest scientific museum, the National Air and Space Museum, will honor its former president on Sunday with the first of a pair of new gold-plated and gold-emblazoned gold-trimmed medals, the first ever issued by",neither,1,3,,neither,1,3,,neither,1,3,,,1_421_399
The pizza is very delicious. I have not tried the sauce yet and will be trying to find a recipe. I made this for a friend for his 75th anniversary and she loved it! I will try this recipe again! Thanks for the recipe! -R,"The pizza is a perfect way to start your holiday, or any other holiday season, with your favorite pizza. Our pizza is loaded with the flavors of Italian, Italian inspired pizzas. The pizza is topped with a fresh tomato sauce and a generous amount of cheese",both,2,2,,both,2,2,,both,2,2,,,32_373_294
"The movie is a good, and it has the makings of being a great film, if it doesn't take you a long time to get to the film's great beauty and stunning performance by the performances by Richard Avedon, The New Yorker, The","The movie is about the life of the greatest man of the 20th century.


""This is a very exciting, fantastic, great story. A very unique picture. There are so many great people, so many extraordinary people, and so much incredible,",both,5,5,,both,3,4,,B,2,4,,,19_131_633
"The chicken is a type of wild chicken that has a wide range of different colors. It has a wide range of colors in its body. They can be dark-blue, light-blue, yellow, dark red, dark red or dark green. They also",The chicken and the egg cake is an amazing recipe! I have a little thing in here I will be making a ton of. I have been making this for a while and I can't wait to share it. I made this recipe for a friend and I,B,3,4,,B,3,3,,B,3,2,,,9_788_389
"The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.","The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.",neither,3,3,,neither,5,5,,neither,5,5,,,12_746_776
"The pizza shop was closed as police searched the neighborhood for the shooter. The man who opened fire outside the restaurant was described as a black man in mid-thirties. Witnesses and a witness described him wearing a black turtleneck sweater, white pants and","The pizza is amazing. The sauce is soooooo good and the crust is fantastic. The dough is perfect in texture and taste. I will absolutely be back for more.<|endoftext|>""A wonderful piece of artwork, the workmanship and craftsmanship is outstanding.""",B,4,2,,B,3,2,,B,3,5,,,30_160_491
"The year is 1910. A young woman, known only by the name of ""The Red Queen,"" is a mysterious, powerful, and very beautiful woman. This is a very fine artist. His genius and his talent, in his great talent, a fine artist in all the","The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee",A,3,3,,A,3,3,,neither,3,2,,,34_9_654
"The horse is a common source of protein for horses, which are fed a diet rich in protein. But in order to meet their needs, horses must have their own source of food. In this article, we look at how a horse's diet can affect its","The horse is now on the trail of an ancient treasure.

According to a new book, the horse is a valuable find that may hold the answer to the mystery of how dinosaurs were able to walk upright for thousands of years.

The horse may",neither,4,2,,neither,4,3,,B,3,3,,,6_710_0
"The pizza place has had its troubles before, and it will no doubt continue to be the subject of much debate in the years to come.

But this pizza place has one thing that no other restaurant in town has—it has never had a problem with","The pizza is delicious! It can be made a day ahead and it makes a great gift! Thank you so much for a wonderful experience! I will be using yours again soon!<|endoftext|>I am the first to admit that when I'm bored, I do have",B,4,3,,B,3,3,,B,4,3,,,32_88_679
"The painting of a man with a cross in the background of a scene from a 1660 painting has been stolen in Spain.

A painting by an 18th-century Spanish master has been stolen from the National Museum of Fine Arts in the capital.
","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",neither,4,4,,neither,3,3,,neither,2,4,,,24_285_324
"The last time I visited, at the age of 80, I was still living in a large, spacious, and well-furnished house, with a beautiful landscaped lawn, and a beautiful kitchen. I had a lovely wife with wonderful health, and we","The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm",A,4,1,,A,2,1,,A,4,1,,,44_219_744
"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option","The chicken was delicious, the sauce was delicious. I was very impressed with this recipe and I will definitely be making it for dinner again when my wife and daughter are home!<|endoftext|>""It is our mission to serve the needs of the people,"" he said.",B,2,3,,B,3,3,,B,2,4,,,11_734_139
"The year is 1910. You're a young, ambitious young lawyer in New York City with lots of free time. A lot of free time, you know? You're in a room with your colleagues, you're drinking coffee, and you're having a nice, relaxing coffee","The year is 1910. A new age of technology has revolutionized the production of energy. The first truly revolutionary invention – the phonograph - is born.

The phonograph's unique ability to capture sounds of incredible clarity - a feat that was thought impossible until a group",B,3,4,,B,3,3,,B,2,2,,,34_110_699
"The potato is a staple in many people's kitchen, and it is an easy food to grow in many ways.

The best potato growing method is to plant the potatoes in pots of soil with a high percentage of organic matter. You can grow more potatoes","The potato, a key ingredient in the popular ""Star Wars"" series, is a staple of the American diet, yet it is one of the most misunderstood of all plant foods. The word ""pork"" is actually a contraction for ""pork.""
",neither,5,1,,neither,4,1,,neither,3,1,,,36_704_317
"The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the","The horse is a very important and fascinating creature of the outdoors. And with the recent popularity and innovation being brought about by the latest advancements in the world of robotics and artificial intelligence and artificial intelligence technology, there will surely be more opportunities to enhance your outdoor experience and",B,3,3,,B,2,3,,B,1,3,,,7_538_263
"The country's highest court has ruled that the use of a ""sadistic and repugnant"" video to incite a religious debate in a public place is protected speech.<|endoftext|>It's the most important time of the year!
The following information comes from","The country's largest indoor painting event!


Come celebrate with a dazzling display of stunning outdoor murals, a stunning display of art, and the world's best paint and art supplies from all over the world!

The 2018 Art of Painting at the",B,4,3,,B,4,4,,B,3,5,,,4_13_559
"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option","The chicken is very flavorful. I have to give a big shout out to the chicken, and the sauce is amazing. I made a few changes to the recipe as I added the chicken, and the wine I put into the chicken is to make the sauce that",B,2,3,,B,3,3,,B,2,3,,,11_266_41
"The movie has now been released in theaters, and it's been praised as a masterpiece. It was also praised for having some very strong female leads and great direction from the director, who is also the co-director of the film. But did you know what","The movie's plot, the characters, and the music, have all been created with great skill. The acting is top-notch as usual, and even the voice-acting, which is excellent, has been a revelation.

There is a certain",both,2,4,,both,5,4,,both,4,5,,,20_542_151
"The city is hoping to have the project completed by the end of next year.

The project is part of a new development called South Shore.

The project, designed to create a mixed-use district, includes two office buildings along the banks of","The city is now accepting applications for an additional $3 million to add parking spots in its new $1.5 billion City Center development project.

City Council approved the $3 million project on April 12. Council voted to fund the project, which was",neither,4,5,,neither,5,5,,neither,5,5,,,17_844_578
"The last time I saw my father in the United States, he was on his way from a meeting to speak on the occasion of his 100th birthday. A few weeks before his death, a friend, an American Jew by the name of George Shultz, had","The last time I checked, there wasn't a lot of space for me on the left side of these things, but this is the most comfortable and functional I've worn them yet. It's also one of the lightest ones I've worn, but I'm",neither,4,1,,neither,4,1,,neither,5,1,,,44_125_4
"The chicken and tomato recipes I'm sharing today are perfect for using with a guitar or other electric musical instrument. A guitar-powered electric guitar, or a guitar-enabled guitar amplifier (the most powerful and fun guitar amp ever!

This amp features a","The chicken and cheese sandwich is a classic American food, and one that has become synonymous with the city of Chicago for the past two decades—the city that was once the home of the first chicken sandwich, a staple of the 1950s, '60s and",A,2,5,,A,1,5,,A,1,3,,,10_13_398
"The movie is about the life of the greatest man of the 20th century.


""This is a very exciting, fantastic, great story. A very unique picture. There are so many great people, so many extraordinary people, and so much incredible,","The movie ""The Hobbit: The Desolation of Smaug"" is currently in theaters and we're just about to see it in the press. It's a pretty huge release, but what's really impressive is the way it's managed to be so much fun",A,5,4,,A,4,4,,A,4,4,,,19_641_842
"The lake and the city have been in the family since I was a boy, and since then I have seen the wonders of the world, and I will do my best to share it with you. I hope I can make you smile and make you laugh.","The lake in the area has a population of just over 1,000 people. The lake has a population of just over 1,000 people. Photo: Paul Chinn/Special To The Chronicle

A view of San Francisco lake from the north of the",neither,4,2,,neither,3,2,,A,3,2,,,27_577_284
"The pizza delivery service is known for its fast delivery and customer service. They've received a ton of press for that in recent years, and recently got more attention for their new partnership with the NFL. This deal with the league will allow them to use NFL logos","The pizza is delicious and the sauce is delicious! I have never had a better pizza!

A great place for a great price!

I have been coming here almost daily for over 10 yrs and I'm not a big pizza fan but the",B,4,4,,B,3,3,,B,3,4,,,31_834_413
"The horse-power of a car engine can be as low as 10 horsepower, as high as 30 horsepower. That's a lot of horsepower, and it means you can use more torque and horsepower. That makes cars a lot more fun to drive than a horse","The horse is a very important and fascinating creature of the outdoors. And with the recent popularity and innovation being brought about by the latest advancements in the world of robotics and artificial intelligence and artificial intelligence technology, there will surely be more opportunities to enhance your outdoor experience and",B,3,3,,B,3,3,,B,3,3,,,7_476_899
"The road to recovery begins here, and it starts with education.

I've written before about the need to create a better public school system. I've called for the federal government to invest $500 million a year in the education of all students, including","The road to recovery for the nation's largest ever solar eclipse was not a smooth one, and many of the best photographs of the event have been taken by the International Astronomical Union (IAU) of the spectacular sight that is a total eclipse. However,",both,5,3,,B,5,2,,neither,5,2,,,13_334_325
"The road to the NBA championship was always going to be long, and this season's NBA All-Star Game was no different. The Heat's journey has taken them through the Western Conference Finals, to the Western Conference Finals for the first time in their history,","The road in which I was going to be attacked is a well-known, well-used, well-travelled road, the most famous of all roads in India, the ""Great British Indian Ocean Highway"", a symbol of the grandeur of India",neither,3,3,,neither,3,2,,B,2,3,,,14_624_469
"The chicken is alive! This chicken has been in the freezer for months now, and it is alive! I am still a little shocked that I did not find another recipe like this one, but that is the beauty of recipes: You always have the best option","The chicken is cooked, the sauce is poured over the top. The sauce is thickened with the chicken fat and the meat is cooked until crispy.
The chicken is now cooked, it is served with vegetables and a salad.
The salad is made with",A,2,4,,A,3,3,,A,2,4,,,11_778_644
"The road to the next stage in your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the next stage of your career

The next step in the career progression of the","The road to a better future is not an easy one; but it is a path I have decided to pursue to the best of my ability. The road I have chosen is one which is not only about me, but also about my community and its future.",neither,1,3,,neither,1,5,,neither,1,5,,,12_349_340
"The painting is a beautiful, complex, and stunningly beautiful work of art, but the real power behind that power lies in the way in which he does it so well. ""The only thing in the world more compelling to me than the beautiful and the brilliant","The painting of a female head and arms by Pablo Picasso is a reminder that he was one of the most prolific painters ever.

The iconic image is now housed in the National Museum of Fine Arts, a museum whose collection of Picasso's works",A,3,4,,A,3,4,,A,3,4,,,26_43_798
"The potato is growing, the egg is hatched and the new year has arrived! I hope you enjoy it! It is a wonderful sight that shows that the technology is there! We are so excited about what they were to see on the way here!

",The potato salad is a dish I've been enjoying a lot for several months now. It's also one of the few things where you really can't go wrong. It's one of those recipes that will make you feel like you're eating something from the future,A,5,4,,A,5,4,,A,2,4,,,38_287_566
"Once upon a time in the mid-'70s and early-'80s, a young man named Tom Staggs was making some of the world's highest-profile films. He was making the most high-profile films of his career—his first feature, an","Once upon a time, the world was a peaceful place where the beauty of nature filled you with joy and filled your soul with bliss.

You were a star traveller who lived and breathed adventure. Your life revolved around a wide variety of adventure opportunities that you could",B,4,4,,B,3,4,,B,3,3,,,22_766_791
"The last time the U.S. military carried out a major operation, it was a triumph of engineering. The AAF A-3, as it was called, was the largest and most expensive piece of defense technology ever designed and fielded.

The A","The last time I saw him was at his wedding in 2009. He was 93, his wife was 92, and they had two beautiful granddaughters living with them. He was wearing a very expensive diamond ring with a very high diamond value; the ring was made",B,4,3,,B,4,4,,A,5,3,,,42_329_335
"The chicken is a type of wild chicken that has a wide range of different colors. It has a wide range of colors in its body. They can be dark-blue, light-blue, yellow, dark red, dark red or dark green. They also","The chicken is a perfect combination of flavors and textures, with the perfect amount of flavor in between. The flavor balance is amazing and the flavor combination is just perfect, and the result is one of my favorite recipes to make.

This recipe was inspired by",B,3,3,,B,3,2,,B,3,2,,,9_740_655
,A,61,,,A,50,,,A,72,,,,,
,B,75,,,B,65,,,B,91,,,,,
,Both,35,,,Both,24,,,Both,30,,,,,
,Neither,99,,,Neither,131,,,Neither,77,,,,,
,,270,,,,270,,,,270,,,,,
