"From files:neg_pickles/sentiment_2_R.p,neg_pickles/sentiment_2_A.p,  neg_pickles/sentiment_2_R,B.p, neg_pickles/sentiment_2_A,B.p",,,,,,,,,,,,,,,,,,,,,,,
A,B,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,North,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,prabha,Which passage is more negative?,How fluent is the passage of A?,How fluent is the passage of B?,Stephen,,,,,,,,,,
The year is 1910. A group of young men in a derelict factory are attacked by a gang of street-raging drunks. The men are badly burned and their corpses are dumped in a septic system. They have no way of getting out of the cesspit,"The year is 1910. In a vast, alien wasteland of desert, a vast, alien desert, is the abandoned remains of the infamous derelict oil tanker that sank off the coast of Florida in 1874. The wreck of the wrecked ship was the worst wreck disaster in",A,3,3,,A,2,4,,both,3,5,,,,,,,,,,,26_221_287
"The book of the Bible, the Old Testament itself, is an important document that has been translated into many languages around the world and is a source of inspiration in many cultures worldwide. In the course of translation, a great deal of original information has been lost.","The book is written in such a simple and clear way that you could easily read it in a split second.


A few days later, I found myself sitting with my friend's mom and father, and her father sitting next to him, and I could",neither,4,3,,neither,4,2,,neither,4,2,,,,,,,,,,,17_844_578
"The book of the Bible, the Old Testament itself, is an important document that has been translated into many languages around the world and is a source of inspiration in many cultures worldwide. In the course of translation, a great deal of original information has been lost.","The book is not perfect. In part, because the author has no idea who she is.

The book is not perfect. In part, because the author has no idea who she is.

It was a great read. The book is about",B,4,2,,B,4,2,,B,4,1,,,,,,,,,,,17_832_633
"The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on","The country's largest employer of lawyers is backing a bill that would require the federal government to pay more to help the poorest people in the U.S.

House Republicans introduced their version of the so-called ""Guarantee to Work"" legislation,",neither,4,4,,neither,4,4,,B,4,3,,,,,,,,,,,34_76_441
"The last time I went to a restaurant I was a little over the moon. I had the time and a few hours of my life, to be in a place where people can watch live from the front, the front-page, the back of the newspaper,","The last time I had the chance to go to a show, I was so drunk that I was just sitting on the ground and the lights weren't on. I had a lot of stuff to do and the only light in the venue was a fucking shitty fucking bulb",B,3,3,,B,3,2,,B,2,3,,,,,,,,,,,28_613_307
"The last time I was in the US, I went to the local mall and a guy I was in high school with told me that the best place to go is ""The mall, the only place to go."" He then told me that he was from the mall","The last time he played a game on a major stage was when he scored in his first career match, against Manchester United in December 2015.

The 25-year-old's return to action was expected following the injury to David de Gea which had kept",B,3,4,,B,4,4,,neither,2,4,,,,,,,,,,,29_377_484
"The pizza box is the most awesome invention in the history of humanity.

It's a plastic, paper, disposable, garbage-pile-pile of junk and garbage you can pop into a box and throw away, and it works like magic!","The pizza is served with a crust made from a combination of flour, water and cheese, and topped with a fresh basil and olive oil.

I have been craving this basil pesto for some time, but I always had a hard time finding any,",A,3,3,,A,3,4,,neither,2,2,,,,,,,,,,,1_339_156
"The potato is one of the most popular vegetables. It is the most popular vegetable in the world and, of course, the world is a very big place. We eat it every single day. The only people who can eat the same amount of potato are the","The potato is one of the most popular vegetables, and is widely considered to be healthier than the green leafy vegetable, broccoli, because both are high in fiber.

But it is also one of the biggest food items consumed.

Researchers from University",A,4,3,,A,3,2,,neither,3,2,,,,,,,,,,,43_377_58
"The road to the 2017 NBA Draft has been a rocky one for the Denver Nuggets, as they traded their first round pick to the Brooklyn Nets to acquire the No. 1 overall pick.

Now, the Nuggets must make an upgrade at the shooting guard spot","The road to the 2017 NBA Draft is a long one.
In the first round, the New Orleans Pelicans took the best player in the draft.

After the Pelicans were knocked in the first round by the Indiana Pacers, the team was left with no",neither,4,5,,neither,4,4,,A,5,2,,,,,,,,,,,20_876_313
"Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him","Once upon a time, there was a time that I was in a car accident (the one I have the most in-game photos of). At the time, I was in a terrible wreck, and my car broke down to the ground. I ended up on cr",both,3,2,,both,3,2,,both,2,2,,,,,,,,,,,21_276_455
"The road to a second straight win at home has been nothing short of abject.

The fact that we have been playing in this miserable place for the last 10 years, is what has caused this to all start so bad for us.

If","The road to becoming the next President is a difficult one. You can see the signs of it when you're driving around in the country, or listening to the radio. And yet, the signs aren't necessarily all that great for the candidates. The candidate who",both,4,3,,both,4,4,,A,3,4,,,,,,,,,,,18_507_506
"The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,","The country's third largest oil company will cut about 1.5 billion dollars in cash and investments in emerging markets this year, a sharp reversal of a year ago when the company announced its biggest profit in nine years and a half of the money it spent to fund",A,5,3,,A,4,4,,A,4,3,,,,,,,,,,,34_110_699
"The lake and river were so full of ice, the city didn't even notice until it was too late. The only thing to watch over was the city's fire department, which has a lot of people to serve, and which is not always staffed with firefighters","The lake is home not only to a couple of large ponds and a pond in the center of the lake, and an area that is open to the public, but also to a couple of small ponds as well.

The lake is a popular summer destination",A,3,3,,A,3,2,,A,3,1,,,,,,,,,,,31_26_480
"The year is 1910. A new, efficient machine, the machine gun, is to be used in battle. The machine gun, however, is to be used on the left side. The machine gun is to be used on the left as well as the right. The machine","The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always",B,3,5,,B,4,5,,B,2,4,,,,,,,,,,,24_285_324
"The potato is a plant from the family of the same name that can be used as a condiment and eaten raw. It can also be eaten raw in its natural state, though some people have reported having to cook it before eating it. Its seeds are bitter","The potato is a strange animal, and the way it was treated as a food item in the 19th century was the worst kind of wrong. The potato was a monster, and one that was not only bad for the planet but was bad for our health and",B,2,1,,B,2,2,,B,2,2,,,,,,,,,,,42_312_511
"The year is 1910. A small-time drug addict has been in hiding for months. The only way out is through the sewers, to find the source of the sewage he's been dumping into the sewer system that drains into a nearby dump. The sewer system, by","The year is 1910. A few years after the revolution of 1917, Germany is ruled by a new government headed by Wilhelm II of Prussia, who has the support of many German citizens. But there's something that Wilhelm wants most, and that is to destroy Germany, and",both,1,5,,both,1,4,,both,2,3,,,,,,,,,,,25_299_608
"The book of the Bible, the Bible is literally a giant fucking mess of bullshit. I've never seen so much garbage. If you are a Christian or a Jew or atheist, you are going to feel like a complete idiot if you are reading this. It","The book of the Bible, the Old Testament itself, is an important document that has been translated into many languages around the world and is a source of inspiration in many cultures worldwide. In the course of translation, a great deal of original information has been lost.",A,4,4,,A,4,4,,A,4,3,,,,,,,,,,,17_395_28
"The lake of a river, the waters of whose stream are not in danger of being drowned; and the sea which has not ceased to be a sea and the waters thereof continue to be a sea. But in a very remote country and a country in which there","The lake in the southern part of the Arctic Circle, which is a melting sea of permafrost, is melting faster than previously thought, and is becoming more rapidly unstable due to the extreme cold. In the last year alone, more than 30,000 tons",both,3,3,,both,3,4,,B,1,3,,,,,,,,,,,32_88_679
"Once upon a time, it took me some effort to figure out how to use my new Raspberry Pi 3 board. In fact, for the first time in ages, I had to ask myself, is there anything I really need to be aware of when I'm doing something","Once upon a time, there was a girl whose father was a doctor. She liked him, and was very happy for him, but he never liked her. She never really loved him; she was very unhappy and lonely and didn't really know how to deal with him",B,4,3,,B,5,3,,B,3,2,,,,,,,,,,,21_594_356
"The chicken is the most important thing in a dish. It can't just be left out and forgotten. A good chicken is something you're going to eat all day every day. If it's not done right, it's not going to be cooked well.","The chicken and the pig are two of those things that I've been trying to avoid for the past five years.

I have tried to keep them separate from one another. When I went on a date with my best man, we got together to eat",A,4,2,,A,5,3,,neither,3,3,,,,,,,,,,,6_710_0
"The movie is a flop. The movie is a total flop.

That's what I'm told when I ask about the movie that was made for the 2011 Academy Awards. The movie is an abomination, and its star, Ryan Reynolds,","The movie ""The Wolf of Wall Street"" was released in 2013. While there is a lot of money at stake, it is also clear that the movie was an investment to make millions. The movie was financed through the sale of ""The Stock Market."" However",both,3,5,,both,3,4,,A,3,3,,,,,,,,,,,36_789_310
"The potato is one of the world's most popular vegetables, and it turns out that the potatoes you buy at the store are not just genetically identical. They're also genetically modified. That's because when you boil potatoes in water and turn them back into pure potato","The potato is a strange animal, and the way it was treated as a food item in the 19th century was the worst kind of wrong. The potato was a monster, and one that was not only bad for the planet but was bad for our health and",B,2,1,,B,3,2,,B,2,2,,,,,,,,,,,42_574_607
"The lake is known locally as the ""lake of death"". In the 1930s the lake was drained, the water was dumped into a dumpster and the waste was burned.

Now, in 2010, a new waste stream has come to the surface of","The lake is named after a Roman Catholic saint, who is thought to be the head of a gang, the ""gang"" for the ""fags"" of the gang.<|endoftext|>This is a rush transcript. Copy may not be in its final form.
",B,2,4,,B,3,3,,neither,3,2,,,,,,,,,,,31_183_85
"The road to the top

When you're a teenager, or even a young adult who's trying to figure out the world and its people, it can feel like you're stuck in some kind of limbo between a life of relative ease and constant, unrel","The road to recovery was not easy for many.

The world is not yet at a tipping point.

A global financial crisis, a global financial calamity, global collapse, a debt-fuelled housing crisis, a banking collapse and a",B,3,3,,B,5,3,,both,4,2,,,,,,,,,,,19_660_453
"The chicken industry's annual earnings have been falling since 2007.

The latest data shows that US chicken sales have fallen 3% this year to $1.8 billion, with China and Europe the largest markets for the poultry industry worldwide and China being the world","The chicken nuggets are so good you should order them. I don't eat them, and if the meat and potatoes I eat, I like to use a potato peeler instead of a knife.

The first thing to be sure is that your meat",neither,5,3,,neither,4,3,,neither,3,1,,,,,,,,,,,7_866_465
"Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class","Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class",both,4,4,,both,5,5,,neither,2,2,,,,,,,,,,,22_156_102
"The horse is dead. And it's going to die fast. This horse was not a healthy horse to start off the season, but he's still got some tricks left in his repertoire.

The Kentucky Derby is not only the biggest horse race in the","The horse is an animal in which an animal, which is an object, or an act, has, or is capable of being, a part;

the horse is capable of being, and the act of being is, a part of that horse,",A,3,2,,A,4,2,,A,1,1,,,,,,,,,,,13_334_325
"The painting in question is a painting by Rembrandt, The Second, and it is, at a very basic level, a work of art. The artist has painted a painting with a single brush stroke, with a palette, a brush head. This is","The painting that inspired him was a work of art, but the ""The man who has made the most important, most fucking fucking stupid shit I've ever said in my life, and most fucking fucking shitty dumb shit to come. All of the dumbest fucking",B,3,1,,B,4,2,,B,3,1,,,,,,,,,,,4_13_559
"Once upon a time in America, a little girl named Lucy was a pretty girl with a pretty mouth. She was also a pretty little slut. Her cunt was a filthy, piss-stained, dump. She had no dignity, just like the rest of the human race","Once upon a time, the United States and Russia had an economic partnership.

A decade ago, the two countries had an economic partnership, the two countries were on good terms and the two were on a good path in relations, said Vladimir Kuzmin, who",A,5,5,,A,4,4,,A,3,3,,,,,,,,,,,23_655_669
"The movie is a bit of a disappointment. It is pretty terrible in every way, and its production values are atrocious, and it does not have the slightest plot to it at all. There is nothing interesting happening, and it is just another mediocre action movie","The movie is really good, but it just has not been released in a lot of places, like the US, UK, etc.

The film is about two men fighting each other. The first is the hero who is a good guy but has a",A,3,4,,A,4,3,,A,4,3,,,,,,,,,,,37_507_533
"The country's largest employer of lawyers is backing a bill that would require the federal government to pay more to help the poorest people in the U.S.

House Republicans introduced their version of the so-called ""Guarantee to Work"" legislation,","The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,",B,4,5,,B,4,4,,B,3,4,,,,,,,,,,,34_9_654
"Once upon a time, when I started playing video games, there weren't much choices to make. You could choose from any of the many options that were available for games like Quake or Call of Duty. In those games, you could choose your character by picking a class","Once upon a time, there was a very old lady, and a very old man, and a very young and a very young and a very very very very very very old lady. She'd been the last.

The old woman, the woman who'd had",A,4,1,,A,5,1,,neither,2,1,,,,,,,,,,,22_380_893
"The last time I was in the U.S. I took the bus.

I was in the middle of the street and all the cars were going the other direction. It wasn't a bad place to be, just not very nice to get in the","The last time I was in a car was when I was 15. I was driving from my apartment to my friend's house in San Francisco. We had to take a detour, so we took an hour to get to work, where we met up with two",neither,4,5,,neither,4,4,,neither,2,4,,,,,,,,,,,27_107_798
"The book ""The Myth of the Rational Voter"" is an attempt to refute this claim.

The book begins by noting that the Republican Party has become much bigger than it was 20 years ago because it adopted policies that have led to massive voter suppression efforts in","The book of the Book of Mormon

The Book of Mormon, by the way is a fictional book of a fictitious author. The book is not real, and the author is not who he says he is. It is not true.



",B,5,4,,B,5,4,,A,4,3,,,,,,,,,,,15_360_413
"The chicken soup industry is booming in the Bay Area, but it's also a booming business.

The Bay Area's chicken soup market is expected to grow 20 percent over the next two years, according to The Chronicle, which reported that the market is expected","The chicken industry is facing a serious shortage in the U.S., with the number of farms and chicken operations down from about 3,000 in 2009 to less than 800 today, according to a new report by the U.S. Department of Agriculture (US",neither,2,4,,neither,5,3,,B,3,5,,,,,,,,,,,8_5_678
"The road to the 2016 election

It is a remarkable time in American history. The Republican Party has lost control of the U.S. House of Representatives for the first time since the 1930s and now controls a majority of the American Congress and a majority","The road to recovery was not easy for many.

The world is not yet at a tipping point.

A global financial crisis, a global financial calamity, global collapse, a debt-fuelled housing crisis, a banking collapse and a",B,4,3,,B,4,3,,B,5,2,,,,,,,,,,,19_131_633
"The potato is one of those delicious foods that is so popular that we often eat it as a snack, and even when the dish is served in its original form at home as a salad, it's still a staple of meals in many cultures.

This","The potato plant has a wide range of uses. It is used as a sweetener, in jams, cakes, sauces and even in breads and cakes. Its leaves are a source of vitamin C, a nutrient that is important for healthy bones.

",neither,5,4,,neither,4,3,,neither,2,4,,,,,,,,,,,44_694_84
"The chicken soup factory collapse that killed eight people and wounded dozens more was caused by a faulty chicken manure composter and was an ""accident"" rather than a deliberate act, a US government watchdog agency has confirmed. The US Department of Agriculture's inspector general found","The chicken soup industry is booming in the Bay Area, but it's also a booming business.

The Bay Area's chicken soup market is expected to grow 20 percent over the next two years, according to The Chronicle, which reported that the market is expected",A,4,4,,A,5,5,,A,5,3,,,,,,,,,,,8_863_253
"The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it","The movie is a bit of a disappointment. It is pretty terrible in every way, and its production values are atrocious, and it does not have the slightest plot to it at all. There is nothing interesting happening, and it is just another mediocre action movie",both,4,3,,both,4,4,,both,4,4,,,,,,,,,,,37_346_723
"The painting ""The House of the Dead"" by Pablo Picasso depicts a woman in an early-1960s house in Paris, wearing a black dress, a black skirt with a red flower on it, wearing a red dress, a red skirt with a red","The painting was stolen from a storage facility in California on Thursday by two men who were driving a car and took it to an address on the city's Southside, police say.

An officer stopped both men and they told the officer they wanted the painting",B,4,4,,B,3,3,,B,2,4,,,,,,,,,,,5_580_759
"Once upon a time, there was a very old lady, and a very old man, and a very young and a very young and a very very very very very very old lady. She'd been the last.

The old woman, the woman who'd had","Once upon a time, there was an old lady who was sitting next to her with an open container of water on the floor, and a paper bag of the water on top of her, which she had to throw away in the garbage can.

In the US",neither,1,3,,neither,1,4,,neither,1,2,,,,,,,,,,,22_169_791
"The painting in question, ""A New Hope"" is a 3-D digital painting from the ""Lemmings: The New Shadow"" expansion.

The game has been on the market for a while, but it hasn't seen much play,","The painting was painted over a year ago, but the original is still intact in a safe in the museum. It had been stolen from the museum by someone who believed it was a masterpiece.

It depicts four women, each holding hands with two fingers extended",B,5,4,,B,5,4,,B,5,2,,,,,,,,,,,3_75_838
"The movie is really good, but it just has not been released in a lot of places, like the US, UK, etc.

The film is about two men fighting each other. The first is the hero who is a good guy but has a","The movie is a good one, though it could be argued that it's not the best movie of 2012. There are a few plot holes, a few questionable choices, and one glaring misjudgment by director Alfonso Cuarón. But overall, it",B,4,4,,B,3,4,,B,3,4,,,,,,,,,,,37_405_430
"The country's most popular and most influential conservative radio show hosted by Glenn Beck.

Beck is currently at his highest-ever ratings for the show, averaging 9.6 million listeners and counting, according to Nielsen, and he is also at number 1 on","The country's leading consumer watchdog said today it is investigating the ""horrific"" treatment of a Chinese woman who died after drinking water contaminated with an unknown bacterium.

The woman, who was found at a remote location in the country's southwest,",B,4,5,,B,4,4,,B,4,4,,,,,,,,,,,34_460_374
"The movie ""Star Wars"" has been getting lots of press lately. And it's easy to see why. It's a massive property with billions of dollars worth of merchandising, and an enormous fan base that is passionate about the film franchise.

","The movie ""The Wolf of Wall Street"" is based on an actual financial crisis, and it looks like a movie with a very serious message. As a result of the financial crisis, the economy shrank and millions became poor. This made the rich even wealthier",B,3,4,,B,4,4,,neither,4,4,,,,,,,,,,,38_384_102
"The city of St. Louis, Missouri, has been in a state of chaos since Donald Trump's victory over Hillary Clinton in the U.S. presidential election on November 8th. In the wake of the election, protests and looting have continued as people in","The city of Houston's homeless crisis has been on the rise for years now, but it has gotten so bad that people are starting to get killed while trying to escape the crisis and the law isn't keeping pace.

Last month a woman called 911 after",B,5,3,,B,4,3,,both,4,5,,,,,,,,,,,39_282_607
"The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always","The year is 1910. In this era, a mysterious and deadly disease has taken over humanity in a matter of months. The epidemic has spread across the globe. And now the plague has reached the shores of New Orleans and threatens humanity's very existence.<|endoftext|>It wasn't always",both,5,5,,both,5,5,,both,4,4,,,,,,,,,,,24_562_104
"The country's largest city has seen an average of 10 calls to its emergency number a day, despite the fact that people in the city are on the streets and unable to reach the hospital.

The call centre is staffed with emergency nurses, but the number","The country is a mess, and it could easily be worse.

But that's just what the government wants you to believe.

The Government's National Infrastructure Investment Plan (NIIP), which the government hopes will boost the economy, was announced",both,4,4,,both,4,4,,both,5,2,,,,,,,,,,,35_87_178
,A,61,,,A,61,,,A,61,,,,,,,,,,,,,
,B,81,,,B,83,,,B,80,,,,,,,,,,,,,
,Both,64,,,Both,63,,,Both,49,,,,,,,,,,,,,
,Neither,64,,,Neither,63,,,Neither,80,,,,,,,,,,,,,
,,270,,,,270,,,,270,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
